,h_orgin,h_orgin_centroid,h_destination,h_destination_centroid,neighbors,h_connecting_arc,haversine_distance_km,hexes_distance_noh,hexes_distance_km
456,861f18b47ffffff,POINT (13.66441017478797 52.43742299906616),861f1d4c7ffffff,POINT (13.53168546056333 52.55039834100136),False,"LINESTRING (13.66441017478797 52.43742299906616, 13.53168546056333 52.55039834100136)",15.445086498515478,3,18.34092842682651
457,861f18b47ffffff,POINT (13.66441017478797 52.43742299906616),861f1886fffffff,POINT (13.23760774875245 52.4461383572344),False,"LINESTRING (13.66441017478797 52.43742299906616, 13.23760774875245 52.4461383572344)",28.9451894865606,5,30.56821404471085
458,861f18b47ffffff,POINT (13.66441017478797 52.43742299906616),861f1d4dfffffff,POINT (13.55321456974186 52.49992295708295),False,"LINESTRING (13.66441017478797 52.43742299906616, 13.55321456974186 52.49992295708295)",10.248604308857205,2,12.22728561788434
459,861f1d4a7ffffff,POINT (13.26217730882076 52.58568484738209),861f18847ffffff,POINT (13.16971616589165 52.40733368498856),False,"LINESTRING (13.26217730882076 52.58568484738209, 13.16971616589165 52.40733368498856)",20.796075059775564,4,24.45457123576868
460,861f1d4a7ffffff,POINT (13.26217730882076 52.58568484738209),861f1d40fffffff,POINT (13.48853411873143 52.65120726058531),False,"LINESTRING (13.26217730882076 52.58568484738209, 13.48853411873143 52.65120726058531)",16.92903864622516,3,18.34092842682651
461,861f1d4a7ffffff,POINT (13.26217730882076 52.58568484738209),861f1d497ffffff,POINT (13.21588119001533 52.49657269480686),False,"LINESTRING (13.26217730882076 52.58568484738209, 13.21588119001533 52.49657269480686)",10.39169199502773,2,12.22728561788434
462,861f1d4a7ffffff,POINT (13.26217730882076 52.58568484738209),861f1d4f7ffffff,POINT (13.44185323329728 52.56223431616588),False,"LINESTRING (13.26217730882076 52.58568484738209, 13.44185323329728 52.56223431616588)",12.41884365550179,2,12.22728561788434
463,861f1d4a7ffffff,POINT (13.26217730882076 52.58568484738209),861f1d49fffffff,POINT (13.30559444899624 52.48489011930791),False,"LINESTRING (13.26217730882076 52.58568484738209, 13.30559444899624 52.48489011930791)",11.586188931693915,2,12.22728561788434
464,861f1d4a7ffffff,POINT (13.26217730882076 52.58568484738209),861f18b2fffffff,POINT (13.48501065303956 52.46130395682968),False,"LINESTRING (13.26217730882076 52.58568484738209, 13.48501065303956 52.46130395682968)",20.458791028826383,4,24.45457123576868
465,861f1d4a7ffffff,POINT (13.26217730882076 52.58568484738209),861f1d4cfffffff,POINT (13.62151327599771 52.53848853710102),False,"LINESTRING (13.26217730882076 52.58568484738209, 13.62151327599771 52.53848853710102)",24.849957296251155,4,24.45457123576868
466,861f1d4a7ffffff,POINT (13.26217730882076 52.58568484738209),861f1d417ffffff,POINT (13.33032663790643 52.62435681728144),True,"LINESTRING (13.26217730882076 52.58568484738209, 13.33032663790643 52.62435681728144)",6.298431308448706,1,6.11364280894217
467,861f1d4a7ffffff,POINT (13.26217730882076 52.58568484738209),861f1d4b7ffffff,POINT (13.19412345893519 52.54695973334255),True,"LINESTRING (13.26217730882076 52.58568484738209, 13.19412345893519 52.54695973334255)",6.30072366881279,1,6.11364280894217
468,861f1d4a7ffffff,POINT (13.26217730882076 52.58568484738209),861f1d48fffffff,POINT (13.37367627480208 52.52358882193953),False,"LINESTRING (13.26217730882076 52.58568484738209, 13.37367627480208 52.52358882193953)",10.22246869801851,2,12.22728561788434
469,861f1d4a7ffffff,POINT (13.26217730882076 52.58568484738209),861f18b77ffffff,POINT (13.57471271892214 52.4494003353978),False,"LINESTRING (13.26217730882076 52.58568484738209, 13.57471271892214 52.4494003353978)",26.01654784546615,5,30.56821404471085
470,861f1d4a7ffffff,POINT (13.26217730882076 52.58568484738209),861f18b0fffffff,POINT (13.50654288019152 52.41076791856435),False,"LINESTRING (13.26217730882076 52.58568484738209, 13.50654288019152 52.41076791856435)",25.53303530223764,5,30.56821404471085
471,861f1d4a7ffffff,POINT (13.26217730882076 52.58568484738209),861f18b07ffffff,POINT (13.4169015215838 52.42263168480854),False,"LINESTRING (13.26217730882076 52.58568484738209, 13.4169015215838 52.42263168480854)",20.937859085808597,4,24.45457123576868
472,861f1d4a7ffffff,POINT (13.26217730882076 52.58568484738209),861f18b37ffffff,POINT (13.32725633154396 52.43442182525305),False,"LINESTRING (13.26217730882076 52.58568484738209, 13.32725633154396 52.43442182525305)",17.386752683627016,3,18.34092842682651
473,861f1d4a7ffffff,POINT (13.26217730882076 52.58568484738209),861f18b5fffffff,POINT (13.6858123489642 52.38681944391617),False,"LINESTRING (13.26217730882076 52.58568484738209, 13.6858123489642 52.38681944391617)",36.21901927923867,7,42.79549966259519
474,861f1d4a7ffffff,POINT (13.26217730882076 52.58568484738209),861f1d4afffffff,POINT (13.35201703555793 52.57399647913816),True,"LINESTRING (13.26217730882076 52.58568484738209, 13.35201703555793 52.57399647913816)",6.20788331244595,1,6.11364280894217
475,861f1d4a7ffffff,POINT (13.26217730882076 52.58568484738209),861f18b47ffffff,POINT (13.66441017478797 52.43742299906616),False,"LINESTRING (13.26217730882076 52.58568484738209, 13.66441017478797 52.43742299906616)",31.823516224999537,6,36.68185685365302
476,861f1d4a7ffffff,POINT (13.26217730882076 52.58568484738209),861f1d4a7ffffff,POINT (13.26217730882076 52.58568484738209),False,"LINESTRING (13.26217730882076 52.58568484738209, 13.26217730882076 52.58568484738209)",0.0,0,0.0
477,861f1d4a7ffffff,POINT (13.26217730882076 52.58568484738209),861f1d487ffffff,POINT (13.28390146169232 52.5353111379206),True,"LINESTRING (13.26217730882076 52.58568484738209, 13.28390146169232 52.5353111379206)",5.790603646145458,1,6.11364280894217
478,861f1d4a7ffffff,POINT (13.26217730882076 52.58568484738209),861f18b27ffffff,POINT (13.39530441655258 52.47313387921053),False,"LINESTRING (13.26217730882076 52.58568484738209, 13.39530441655258 52.47313387921053)",15.418382825281348,3,18.34092842682651
479,861f1d4a7ffffff,POINT (13.26217730882076 52.58568484738209),861f18b57ffffff,POINT (13.59617996879917 52.39883051010078),False,"LINESTRING (13.26217730882076 52.58568484738209, 13.59617996879917 52.39883051010078)",30.708942215943242,6,36.68185685365302
