,h_orgin,h_orgin_centroid,h_destination,h_destination_centroid,neighbors,hexes_distance_noh,shortest_path_distance_km
631,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f18b2cffffff,POINT (13.46603531957765 52.47742727161366),False,4,10.348785000000001
632,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d49bffffff,POINT (13.32460000781337 52.4687990918736),True,1,3.2786960000000005
633,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d49dffffff,POINT (13.32194097457933 52.50315766553212),False,3,7.223516
634,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d4a8ffffff,POINT (13.35201703555793 52.57399647913816),False,7,15.67885300000001
635,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d4aeffffff,POINT (13.31661476304758 52.57181869534616),False,7,15.724748000000002
636,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d4f6ffffff,POINT (13.4064432414357 52.56008331433108),False,6,15.736429999999997
637,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d489ffffff,POINT (13.40906181434824 52.52574846527658),False,4,11.617338999999996
638,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d499ffffff,POINT (13.34094888080296 52.4870687271131),False,2,4.712314000000001
639,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d4aaffffff,POINT (13.33564318130369 52.5557502080193),False,6,13.29654200000001
640,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d486ffffff,POINT (13.24853041200324 52.53311439211661),False,5,13.619661000000004
641,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d4b3ffffff,POINT (13.2131661036788 52.53090730448986),False,6,14.488133999999999
642,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d48bffffff,POINT (13.3926809515452 52.50749592826664),False,3,8.877809000000001
643,871f18b35ffffff,POINT (13.34359767442488 52.45269993376719),871f1d4d3ffffff,POINT (13.48243301263263 52.49567966154245),False,5,14.064145
