,key_6hex_6h,y_true,hex_id_6hex,timestamp
4608,861f18847ffffff_2017-02-03 00:00:00,0.0,861f18847ffffff,2017-02-03 00:00:00
4626,861f18847ffffff_2017-02-03 06:00:00,1.0,861f18847ffffff,2017-02-03 06:00:00
4644,861f18847ffffff_2017-02-03 12:00:00,8.0,861f18847ffffff,2017-02-03 12:00:00
4662,861f18847ffffff_2017-02-03 18:00:00,0.0,861f18847ffffff,2017-02-03 18:00:00
4680,861f18847ffffff_2017-02-04 00:00:00,0.0,861f18847ffffff,2017-02-04 00:00:00
4698,861f18847ffffff_2017-02-04 06:00:00,0.0,861f18847ffffff,2017-02-04 06:00:00
4716,861f18847ffffff_2017-02-04 12:00:00,0.0,861f18847ffffff,2017-02-04 12:00:00
4734,861f18847ffffff_2017-02-04 18:00:00,0.0,861f18847ffffff,2017-02-04 18:00:00
4752,861f18847ffffff_2017-02-05 00:00:00,0.0,861f18847ffffff,2017-02-05 00:00:00
4770,861f18847ffffff_2017-02-05 06:00:00,0.0,861f18847ffffff,2017-02-05 06:00:00
4788,861f18847ffffff_2017-02-05 12:00:00,0.0,861f18847ffffff,2017-02-05 12:00:00
4806,861f18847ffffff_2017-02-05 18:00:00,2.0,861f18847ffffff,2017-02-05 18:00:00
4824,861f18847ffffff_2017-02-06 00:00:00,0.0,861f18847ffffff,2017-02-06 00:00:00
4842,861f18847ffffff_2017-02-06 06:00:00,5.0,861f18847ffffff,2017-02-06 06:00:00
4860,861f18847ffffff_2017-02-06 12:00:00,7.0,861f18847ffffff,2017-02-06 12:00:00
4878,861f18847ffffff_2017-02-06 18:00:00,2.0,861f18847ffffff,2017-02-06 18:00:00
4896,861f18847ffffff_2017-02-07 00:00:00,0.0,861f18847ffffff,2017-02-07 00:00:00
4914,861f18847ffffff_2017-02-07 06:00:00,0.0,861f18847ffffff,2017-02-07 06:00:00
4932,861f18847ffffff_2017-02-07 12:00:00,6.0,861f18847ffffff,2017-02-07 12:00:00
4950,861f18847ffffff_2017-02-07 18:00:00,1.0,861f18847ffffff,2017-02-07 18:00:00
4968,861f18847ffffff_2017-02-08 00:00:00,0.0,861f18847ffffff,2017-02-08 00:00:00
4986,861f18847ffffff_2017-02-08 06:00:00,0.0,861f18847ffffff,2017-02-08 06:00:00
5004,861f18847ffffff_2017-02-08 12:00:00,11.0,861f18847ffffff,2017-02-08 12:00:00
5022,861f18847ffffff_2017-02-08 18:00:00,2.0,861f18847ffffff,2017-02-08 18:00:00
5040,861f18847ffffff_2017-02-09 00:00:00,0.0,861f18847ffffff,2017-02-09 00:00:00
5058,861f18847ffffff_2017-02-09 06:00:00,1.0,861f18847ffffff,2017-02-09 06:00:00
5076,861f18847ffffff_2017-02-09 12:00:00,11.0,861f18847ffffff,2017-02-09 12:00:00
5094,861f18847ffffff_2017-02-09 18:00:00,0.0,861f18847ffffff,2017-02-09 18:00:00
5112,861f18847ffffff_2017-02-10 00:00:00,0.0,861f18847ffffff,2017-02-10 00:00:00
5130,861f18847ffffff_2017-02-10 06:00:00,2.0,861f18847ffffff,2017-02-10 06:00:00
5148,861f18847ffffff_2017-02-10 12:00:00,8.0,861f18847ffffff,2017-02-10 12:00:00
